"Rank","WSIT","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"270","","Pittsburgh (PIT)","","DST22","7","229","311","262.0","27.3","188.0","-82.0"
"271","","Antonio Gates","LAC","TE31","8","247","299","276.5","15.2","232.0","-39.0"
"272","","Trent Taylor","SF","WR97","11","221","286","262.6","24.3","328.0","+56.0"
"273","","Rishard Matthews","NYJ","WR98","11","237","294","263.2","22.3","165.0","-108.0"
"274","","Josh Lambo","JAC","K16","9","249","275","263.8","7.7","223.0","-51.0"
"275","","Chase Edmonds","ARI","RB76","9","225","286","264.0","8.9","251.0","-24.0"
"276","","Brandon McManus","DEN","K17","10","246","289","265.0","11.8","222.0","-54.0"
"277","","Buffalo (BUF)","","DST23","11","184","344","278.8","42.0","294.0","+17.0"
"278","","Cody Parkey","CHI","K18","5","251","289","265.4","12.2","329.0","+51.0"
"279","","Chris Conley","KC","WR99","12","242","277","265.8","11.9","",""
"280","","Arizona (ARI)","","DST24","9","204","343","266.6","27.1","218.0","-62.0"
"281","","Wayne Gallman","NYG","RB77","9","241","277","267.0","5.8","268.0","-13.0"
"282","","Ryan Tannehill","MIA","QB33","11","216","305","267.2","22.0","249.0","-33.0"
"283","","Laquon Treadwell","MIN","WR100","10","186","312","269.4","22.0","316.0","+33.0"
"284","","Mike Gesicki","MIA","TE32","11","247","301","269.6","14.6","205.0","-79.0"
"285","","Josh Reynolds","LAR","WR101","12","211","367","255.0","64.9","",""
"286","","Chad Williams","ARI","WR102","9","238","288","269.8","9.8","341.0","+55.0"
"287","","D.J. Chark","JAC","WR103","9","155","346","273.4","27.3","315.0","+28.0"
"288","","Torrey Smith","CAR","WR104","4","198","297","274.2","15.5","326.0","+38.0"
"289","","Josh Allen","BUF","QB34","11","260","286","275.0","4.9","261.0","-28.0"
"290","","Equanimeous St. Brown","GB","WR105","7","250","300","276.0","15.9","378.0","+88.0"
"291","","Travis Benjamin","LAC","WR106","8","262","297","276.8","12.6","271.0","-20.0"
"292","","Ka'imi Fairbairn","HOU","K19","10","224","303","279.6","9.8","280.0","-12.0"
"293","","Mark Andrews","BAL","TE33","10","232","343","279.6","24.7","319.0","+26.0"
"294","","Jordan Thomas","HOU","TE34","10","246","342","279.6","35.3","",""
"295","","Terrelle Pryor","BUF","WR107","11","217","362","266.5","57.0","277.0","-18.0"
"296","","Tavon Austin","DAL","WR108","8","257","295","280.0","8.8","289.0","-7.0"
"297","","Caleb Sturgis","LAC","K20","8","269","290","282.0","1.7","283.0","-14.0"
